module,name,file,status
JukeBox.test_input_validator,test_normalise_track_number_empty,JukeBox\test_input_validator.py,passed
JukeBox.test_input_validator,test_normalise_track_number_text,JukeBox\test_input_validator.py,passed
JukeBox.test_input_validator,test_normalise_track_number_too_long,JukeBox\test_input_validator.py,passed
JukeBox.test_input_validator,test_normalise_track_number_one_digit,JukeBox\test_input_validator.py,passed
JukeBox.test_input_validator,test_normalise_track_number_two_digits,JukeBox\test_input_validator.py,passed
JukeBox.test_input_validator,test_normalise_track_number_with_spaces,JukeBox\test_input_validator.py,passed
JukeBox.test_library_item,test_library_item_name,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_library_item_artist,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_library_item_rating,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_stars,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_library_item_play_count_default,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_library_item_image_default,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_library_item_audio_default,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_library_item_image_value,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_library_item_audio_value,JukeBox\test_library_item.py,passed
JukeBox.test_library_item,test_info,JukeBox\test_library_item.py,passed
JukeBox.test_playlist_controller,test_add_track_to_playlist_valid,JukeBox\test_playlist_controller.py,passed
JukeBox.test_playlist_controller,test_add_track_to_playlist_invalid_text,JukeBox\test_playlist_controller.py,passed
JukeBox.test_playlist_controller,test_add_duplicate_track_to_playlist,JukeBox\test_playlist_controller.py,passed
JukeBox.test_playlist_controller,test_play_playlist_empty,JukeBox\test_playlist_controller.py,passed
JukeBox.test_playlist_controller,test_reset_playlist,JukeBox\test_playlist_controller.py,passed
JukeBox.test_rating_validation,test_validate_rating_empty,JukeBox\test_rating_validation.py,passed
JukeBox.test_rating_validation,test_validate_rating_text,JukeBox\test_rating_validation.py,passed
JukeBox.test_rating_validation,test_validate_rating_too_low,JukeBox\test_rating_validation.py,passed
JukeBox.test_rating_validation,test_validate_rating_too_high,JukeBox\test_rating_validation.py,passed
JukeBox.test_rating_validation,test_validate_rating_valid_middle,JukeBox\test_rating_validation.py,passed
JukeBox.test_rating_validation,test_validate_rating_with_spaces,JukeBox\test_rating_validation.py,passed
JukeBox.test_track_controller,test_view_track_valid,JukeBox\test_track_controller.py,passed
JukeBox.test_track_controller,test_view_track_invalid_text,JukeBox\test_track_controller.py,passed
JukeBox.test_track_controller,test_search_tracks_empty,JukeBox\test_track_controller.py,passed
JukeBox.test_track_controller,test_search_tracks_valid,JukeBox\test_track_controller.py,passed
JukeBox.test_track_controller,test_filter_tracks_valid_artist,JukeBox\test_track_controller.py,passed
JukeBox.test_track_controller,test_update_rating_invalid_rating,JukeBox\test_track_controller.py,passed
